ReturnID,OrderID,ReturnDate,ReturnReason,ReturnStatus
RET0476,ORD07340,2024-04-08,Quality Issue,Returned
RET0477,ORD07579,2025-01-21,Quality Issue,Returned
RET0478,ORD06446,2025-05-11,Quality Issue,Returned
RET0479,ORD00124,2024-02-27,Customer Changed Mind,Returned
RET0480,ORD01987,2024-06-05,Wrong Product,Returned
RET0481,ORD06194,2025-03-17,Damaged,Returned
RET0482,ORD04175,2024-08-06,Customer Changed Mind,Returned
RET0483,ORD02032,2024-09-11,Late Delivery,Returned
RET0484,ORD00421,2025-06-29,Customer Changed Mind,Returned
RET0485,ORD08804,2024-02-11,Customer Changed Mind,Returned
RET0486,ORD09715,2024-01-07,Wrong Product,Returned
RET0487,ORD00759,2025-06-24,Quality Issue,Returned
RET0488,ORD04997,2025-03-06,Late Delivery,Returned
RET0489,ORD09733,2025-09-06,Wrong Product,Returned
RET0490,ORD06094,2024-03-01,Damaged,Returned
RET0491,ORD02290,2024-10-21,Late Delivery,Returned
RET0492,ORD06246,2024-03-01,Late Delivery,Returned
RET0493,ORD07871,2025-02-14,Wrong Product,Returned
RET0494,ORD06539,2025-07-23,Late Delivery,Returned
RET0495,ORD09984,2024-10-28,Customer Changed Mind,Returned
RET0496,ORD09011,2024-09-25,Customer Changed Mind,Returned
RET0497,ORD00023,2025-04-14,Quality Issue,Returned
RET0498,ORD01127,2025-01-04,Wrong Product,Returned
RET0499,ORD01497,2025-05-04,Customer Changed Mind,Returned
RET0500,ORD02360,2025-09-08,Late Delivery,Returned
RET0501,ORD00290,2025-03-11,Late Delivery,Returned
RET0502,ORD00809,2025-09-16,Customer Changed Mind,Returned
RET0503,ORD04494,2025-02-17,Wrong Product,Returned
RET0504,ORD06951,2025-01-12,Wrong Product,Returned
RET0505,ORD00467,2025-05-05,Damaged,Returned
RET0506,ORD01800,2024-10-08,Wrong Product,Returned
RET0507,ORD06590,2024-07-30,Customer Changed Mind,Returned
RET0508,ORD06174,2024-07-29,Damaged,Returned
RET0509,ORD06072,2024-02-20,Late Delivery,Returned
RET0510,ORD00826,2025-04-04,Customer Changed Mind,Returned
RET0511,ORD09250,2025-04-03,Quality Issue,Returned
RET0512,ORD03694,2024-02-11,Quality Issue,Returned
RET0513,ORD09002,2024-05-30,Wrong Product,Returned
RET0514,ORD00484,2025-07-31,Damaged,Returned
RET0515,ORD08871,2024-09-11,Damaged,Returned
RET0516,ORD04867,2024-04-05,Late Delivery,Returned
RET0517,ORD09035,2025-02-15,Wrong Product,Returned
RET0518,ORD02092,2024-08-19,Damaged,Returned
RET0519,ORD08281,2024-11-24,Customer Changed Mind,Returned
RET0520,ORD02307,2024-01-24,Late Delivery,Returned
RET0521,ORD00324,2025-11-09,Damaged,Returned
RET0522,ORD09632,2025-08-01,Quality Issue,Returned
RET0523,ORD06617,2024-11-14,Quality Issue,Returned
RET0524,ORD07676,2025-10-15,Damaged,Returned
RET0525,ORD00054,2025-04-22,Quality Issue,Returned
RET0526,ORD03066,2025-02-19,Customer Changed Mind,Returned
RET0527,ORD07136,2024-08-22,Late Delivery,Returned
RET0528,ORD09796,2025-01-24,Customer Changed Mind,Returned
RET0529,ORD00069,2024-04-28,Quality Issue,Returned
RET0530,ORD00601,2024-09-02,Damaged,Returned
RET0531,ORD04971,2024-03-06,Damaged,Returned
RET0532,ORD07308,2024-06-24,Late Delivery,Returned
RET0533,ORD07310,2024-12-31,Quality Issue,Returned
RET0534,ORD07063,2024-06-21,Quality Issue,Returned
RET0535,ORD03957,2024-04-04,Quality Issue,Returned
RET0536,ORD07271,2024-12-12,Wrong Product,Returned
RET0537,ORD06315,2025-08-24,Damaged,Returned
RET0538,ORD00511,2025-04-18,Quality Issue,Returned
RET0539,ORD01938,2025-03-04,Late Delivery,Returned
RET0540,ORD03898,2025-10-16,Wrong Product,Returned
RET0541,ORD04753,2025-11-24,Quality Issue,Returned
RET0542,ORD07246,2025-10-24,Damaged,Returned
RET0543,ORD07319,2024-04-12,Wrong Product,Returned
RET0544,ORD06915,2025-09-20,Customer Changed Mind,Returned
RET0545,ORD03535,2025-06-28,Late Delivery,Returned
RET0546,ORD04673,2025-06-09,Damaged,Returned
RET0547,ORD08787,2025-09-26,Customer Changed Mind,Returned
RET0548,ORD01130,2025-10-25,Damaged,Returned
RET0549,ORD04612,2025-07-05,Late Delivery,Returned
RET0550,ORD02378,2025-08-03,Quality Issue,Returned
RET0551,ORD01109,2024-10-11,Customer Changed Mind,Returned
RET0552,ORD08373,2025-11-12,Customer Changed Mind,Returned
RET0553,ORD00853,2024-07-05,Wrong Product,Returned
RET0554,ORD06112,2025-12-08,Quality Issue,Returned
RET0555,ORD08159,2025-08-30,Late Delivery,Returned
RET0556,ORD00840,2025-10-29,Wrong Product,Returned
RET0557,ORD00574,2025-08-29,Customer Changed Mind,Returned
RET0558,ORD01386,2024-07-04,Damaged,Returned
RET0559,ORD07851,2024-01-04,Late Delivery,Returned
RET0560,ORD01172,2025-07-29,Wrong Product,Returned
RET0561,ORD05291,2024-03-02,Quality Issue,Returned
RET0562,ORD02234,2024-01-02,Damaged,Returned
RET0563,ORD02967,2025-06-04,Wrong Product,Returned
RET0564,ORD00801,2024-09-17,Late Delivery,Returned
RET0565,ORD06999,2025-04-19,Damaged,Returned
RET0566,ORD04788,2024-03-29,Wrong Product,Returned
RET0567,ORD09552,2024-04-16,Wrong Product,Returned
RET0568,ORD04103,2024-08-08,Late Delivery,Returned
RET0569,ORD06346,2024-02-14,Quality Issue,Returned
RET0570,ORD07427,2024-10-17,Damaged,Returned
RET0571,ORD06152,2024-05-15,Wrong Product,Returned
RET0572,ORD04536,2024-10-25,Late Delivery,Returned
RET0573,ORD03014,2025-12-08,Wrong Product,Returned
RET0574,ORD06768,2024-03-28,Late Delivery,Returned
RET0575,ORD02533,2024-08-13,Late Delivery,Returned
RET0576,ORD08994,2024-12-03,Wrong Product,Returned
RET0577,ORD02977,2024-02-21,Late Delivery,Returned
RET0578,ORD08805,2024-08-21,Damaged,Returned
RET0579,ORD09559,2024-01-28,Late Delivery,Returned
RET0580,ORD05096,2024-05-28,Quality Issue,Returned
RET0581,ORD01352,2024-08-29,Quality Issue,Returned
RET0582,ORD06454,2024-03-31,Late Delivery,Returned
RET0583,ORD02091,2024-05-19,Damaged,Returned
RET0584,ORD01216,2024-07-11,Customer Changed Mind,Returned
RET0585,ORD05645,2024-04-22,Customer Changed Mind,Returned
RET0586,ORD08728,2024-07-21,Damaged,Returned
RET0587,ORD03703,2025-05-17,Quality Issue,Returned
RET0588,ORD09515,2025-03-21,Late Delivery,Returned
RET0589,ORD09423,2025-01-28,Wrong Product,Returned
RET0590,ORD01763,2024-09-23,Late Delivery,Returned
RET0591,ORD03185,2024-07-13,Late Delivery,Returned
RET0592,ORD02477,2025-06-27,Customer Changed Mind,Returned
RET0593,ORD05719,2024-04-16,Late Delivery,Returned
RET0594,ORD09285,2024-04-30,Customer Changed Mind,Returned
RET0595,ORD02485,2025-01-16,Wrong Product,Returned
RET0596,ORD04131,2024-03-24,Late Delivery,Returned
RET0597,ORD09439,2024-09-03,Damaged,Returned
RET0598,ORD07907,2024-11-07,Late Delivery,Returned
RET0599,ORD04346,2024-05-21,Damaged,Returned
RET0600,ORD08002,2024-10-24,Customer Changed Mind,Returned
RET0601,ORD06230,2024-03-26,Late Delivery,Returned
RET0602,ORD04115,2025-01-27,Customer Changed Mind,Returned
RET0603,ORD08434,2024-04-01,Damaged,Returned
RET0604,ORD00180,2025-08-16,Customer Changed Mind,Returned
RET0605,ORD02105,2025-10-14,Quality Issue,Returned
RET0606,ORD00278,2025-11-02,Damaged,Returned
RET0607,ORD07611,2025-05-30,Customer Changed Mind,Returned
RET0608,ORD00644,2025-02-20,Late Delivery,Returned
RET0609,ORD01341,2024-09-23,Customer Changed Mind,Returned
RET0610,ORD08746,2024-01-27,Wrong Product,Returned
RET0611,ORD09057,2024-03-12,Damaged,Returned
RET0612,ORD03902,2024-09-08,Customer Changed Mind,Returned
RET0613,ORD01568,2024-06-15,Quality Issue,Returned
RET0614,ORD05605,2025-02-25,Wrong Product,Returned
RET0615,ORD03784,2025-05-15,Damaged,Returned
RET0616,ORD01696,2025-10-22,Wrong Product,Returned
RET0617,ORD04602,2025-07-05,Late Delivery,Returned
RET0618,ORD00905,2024-06-22,Quality Issue,Returned
RET0619,ORD04157,2025-08-28,Late Delivery,Returned
RET0620,ORD08442,2024-05-24,Customer Changed Mind,Returned
RET0621,ORD02760,2025-12-08,Wrong Product,Returned
RET0622,ORD02690,2024-04-18,Late Delivery,Returned
RET0623,ORD09127,2024-05-19,Customer Changed Mind,Returned
RET0624,ORD07068,2025-01-28,Quality Issue,Returned
RET0625,ORD01048,2025-03-22,Late Delivery,Returned
RET0626,ORD00143,2024-12-18,Wrong Product,Returned
RET0627,ORD00556,2025-03-30,Late Delivery,Returned
RET0628,ORD03342,2025-05-02,Quality Issue,Returned
RET0629,ORD06812,2025-03-27,Customer Changed Mind,Returned
RET0630,ORD03545,2024-02-25,Late Delivery,Returned
RET0631,ORD06538,2024-01-03,Late Delivery,Returned
RET0632,ORD04353,2025-04-18,Damaged,Returned
RET0633,ORD02076,2024-11-03,Customer Changed Mind,Returned
RET0634,ORD06872,2025-10-03,Damaged,Returned
RET0635,ORD04436,2025-04-10,Damaged,Returned
RET0636,ORD03051,2025-05-30,Quality Issue,Returned
RET0637,ORD04132,2025-12-15,Quality Issue,Returned
RET0638,ORD04158,2025-11-20,Wrong Product,Returned
RET0639,ORD09778,2024-09-01,Customer Changed Mind,Returned
RET0640,ORD09658,2024-05-01,Customer Changed Mind,Returned
RET0641,ORD08007,2025-03-23,Quality Issue,Returned
RET0642,ORD06634,2024-12-24,Quality Issue,Returned
RET0643,ORD04545,2025-01-09,Damaged,Returned
RET0644,ORD08529,2025-10-23,Quality Issue,Returned
RET0645,ORD05627,2024-12-28,Late Delivery,Returned
RET0646,ORD05988,2024-05-07,Customer Changed Mind,Returned
RET0647,ORD01397,2025-07-26,Wrong Product,Returned
RET0648,ORD04308,2025-08-03,Damaged,Returned
RET0649,ORD06932,2024-10-24,Late Delivery,Returned
RET0650,ORD07976,2025-07-04,Quality Issue,Returned
RET0651,ORD08999,2025-08-20,Wrong Product,Returned
RET0652,ORD01837,2025-09-16,Quality Issue,Returned
RET0653,ORD06305,2024-06-29,Late Delivery,Returned
RET0654,ORD02081,2024-02-10,Wrong Product,Returned
RET0655,ORD02112,2025-07-31,Quality Issue,Returned
RET0656,ORD06339,2025-09-19,Late Delivery,Returned
RET0657,ORD07546,2025-04-20,Late Delivery,Returned
RET0658,ORD03415,2025-09-04,Wrong Product,Returned
RET0659,ORD03854,2024-01-03,Late Delivery,Returned
RET0660,ORD01501,2025-05-29,Quality Issue,Returned
RET0661,ORD02478,2024-01-05,Wrong Product,Returned
RET0662,ORD02367,2024-05-12,Damaged,Returned
RET0663,ORD09834,2024-09-22,Late Delivery,Returned
RET0664,ORD05273,2025-07-20,Quality Issue,Returned
RET0665,ORD04431,2024-07-22,Wrong Product,Returned
RET0666,ORD00984,2024-05-11,Damaged,Returned
RET0667,ORD05160,2024-02-10,Damaged,Returned
RET0668,ORD05168,2025-11-26,Customer Changed Mind,Returned
RET0669,ORD05709,2025-09-24,Customer Changed Mind,Returned
RET0670,ORD09087,2025-09-06,Wrong Product,Returned
RET0671,ORD04853,2025-01-29,Late Delivery,Returned
RET0672,ORD06877,2025-04-11,Quality Issue,Returned
RET0673,ORD09614,2025-03-28,Late Delivery,Returned
RET0674,ORD00728,2024-05-18,Quality Issue,Returned
RET0675,ORD07227,2024-08-04,Quality Issue,Returned
RET0676,ORD07553,2024-10-10,Customer Changed Mind,Returned
RET0677,ORD06580,2025-05-31,Customer Changed Mind,Returned
RET0678,ORD01910,2025-05-29,Late Delivery,Returned
RET0679,ORD05167,2024-10-03,Wrong Product,Returned
RET0680,ORD00136,2024-01-21,Quality Issue,Returned
RET0681,ORD07154,2024-01-13,Customer Changed Mind,Returned
RET0682,ORD04228,2025-04-30,Wrong Product,Returned
RET0683,ORD04555,2024-01-16,Customer Changed Mind,Returned
RET0684,ORD03761,2024-09-12,Quality Issue,Returned
RET0685,ORD04062,2025-10-23,Damaged,Returned
RET0686,ORD00115,2025-04-23,Customer Changed Mind,Returned
RET0687,ORD03244,2025-08-16,Wrong Product,Returned
RET0688,ORD01343,2025-10-14,Late Delivery,Returned
RET0689,ORD07798,2024-04-15,Late Delivery,Returned
RET0690,ORD07803,2024-03-27,Quality Issue,Returned
RET0691,ORD04498,2025-02-27,Damaged,Returned
RET0692,ORD01795,2024-06-27,Customer Changed Mind,Returned
RET0693,ORD07270,2025-04-21,Customer Changed Mind,Returned
RET0694,ORD05502,2025-04-03,Damaged,Returned
RET0695,ORD09597,2025-06-08,Quality Issue,Returned
RET0696,ORD01265,2024-04-06,Quality Issue,Returned
RET0697,ORD04643,2025-06-06,Wrong Product,Returned
RET0698,ORD03575,2024-02-14,Wrong Product,Returned
RET0699,ORD09746,2025-01-02,Wrong Product,Returned
RET0700,ORD07396,2024-06-29,Quality Issue,Returned
RET0701,ORD02053,2024-01-02,Customer Changed Mind,Returned
RET0702,ORD03498,2024-11-30,Late Delivery,Returned
RET0703,ORD04547,2024-08-21,Quality Issue,Returned
RET0704,ORD09309,2024-07-11,Damaged,Returned
RET0705,ORD07518,2025-11-15,Late Delivery,Returned
RET0706,ORD05846,2025-03-03,Quality Issue,Returned
RET0707,ORD01870,2025-07-10,Quality Issue,Returned
RET0708,ORD09403,2024-05-23,Wrong Product,Returned
RET0709,ORD00850,2024-09-07,Customer Changed Mind,Returned
RET0710,ORD03493,2025-06-07,Customer Changed Mind,Returned
RET0711,ORD05481,2024-12-28,Late Delivery,Returned
RET0712,ORD05023,2025-04-21,Quality Issue,Returned
RET0713,ORD06809,2024-05-17,Wrong Product,Returned
RET0714,ORD04493,2024-09-14,Damaged,Returned
RET0715,ORD05915,2024-06-12,Quality Issue,Returned
RET0716,ORD02024,2024-05-05,Wrong Product,Returned
RET0717,ORD07651,2025-09-25,Damaged,Returned
RET0718,ORD02489,2024-09-01,Damaged,Returned
RET0719,ORD08916,2025-07-16,Late Delivery,Returned
RET0720,ORD07670,2024-01-15,Customer Changed Mind,Returned
RET0721,ORD05856,2025-01-21,Customer Changed Mind,Returned
RET0722,ORD03647,2025-12-18,Late Delivery,Returned
RET0723,ORD01028,2025-11-24,Quality Issue,Returned
RET0724,ORD00062,2024-08-30,Wrong Product,Returned
RET0725,ORD08947,2024-07-01,Customer Changed Mind,Returned
RET0726,ORD09229,2024-07-10,Late Delivery,Returned
RET0727,ORD02871,2024-06-26,Customer Changed Mind,Returned
RET0728,ORD01639,2025-08-18,Customer Changed Mind,Returned
RET0729,ORD02452,2025-11-19,Customer Changed Mind,Returned
RET0730,ORD02829,2024-04-20,Quality Issue,Returned
RET0731,ORD06135,2024-10-25,Late Delivery,Returned
RET0732,ORD01742,2024-08-28,Customer Changed Mind,Returned
RET0733,ORD06881,2024-02-29,Customer Changed Mind,Returned
RET0734,ORD06748,2024-04-26,Late Delivery,Returned
RET0735,ORD07806,2024-04-02,Damaged,Returned
RET0736,ORD08900,2024-02-09,Quality Issue,Returned
RET0737,ORD08585,2025-12-17,Quality Issue,Returned
RET0738,ORD05828,2025-08-16,Wrong Product,Returned
RET0739,ORD03908,2024-11-12,Wrong Product,Returned
RET0740,ORD06285,2025-06-30,Damaged,Returned
RET0741,ORD03270,2024-10-16,Wrong Product,Returned
RET0742,ORD06449,2025-09-26,Customer Changed Mind,Returned
RET0743,ORD00035,2025-05-12,Customer Changed Mind,Returned
RET0744,ORD07563,2024-05-20,Wrong Product,Returned
RET0745,ORD02013,2024-07-27,Quality Issue,Returned
RET0746,ORD02294,2024-08-13,Damaged,Returned
RET0747,ORD04889,2024-08-04,Customer Changed Mind,Returned
RET0748,ORD05836,2025-06-27,Damaged,Returned
RET0749,ORD05386,2025-06-01,Wrong Product,Returned
RET0750,ORD04148,2025-02-25,Late Delivery,Returned
RET0751,ORD04437,2025-03-03,Damaged,Returned
RET0752,ORD03195,2025-04-20,Damaged,Returned
RET0753,ORD03594,2025-03-20,Wrong Product,Returned
RET0754,ORD05614,2025-02-20,Wrong Product,Returned
RET0755,ORD08118,2024-05-13,Customer Changed Mind,Returned
RET0756,ORD01126,2024-01-28,Late Delivery,Returned
RET0757,ORD08686,2025-10-07,Late Delivery,Returned
RET0758,ORD06961,2024-04-16,Damaged,Returned
RET0759,ORD02607,2024-03-23,Late Delivery,Returned
RET0760,ORD03409,2024-12-06,Wrong Product,Returned
RET0761,ORD02337,2024-07-02,Wrong Product,Returned
RET0762,ORD00254,2025-10-14,Wrong Product,Returned
RET0763,ORD00843,2025-08-03,Damaged,Returned
RET0764,ORD06144,2024-03-26,Quality Issue,Returned
RET0765,ORD07347,2024-10-12,Wrong Product,Returned
RET0766,ORD08421,2025-09-05,Late Delivery,Returned
RET0767,ORD04488,2024-05-15,Late Delivery,Returned
RET0768,ORD05270,2025-08-12,Wrong Product,Returned
RET0769,ORD05901,2025-02-06,Quality Issue,Returned
RET0770,ORD04589,2025-04-27,Damaged,Returned
RET0771,ORD06324,2025-12-23,Wrong Product,Returned
RET0772,ORD05899,2024-02-06,Damaged,Returned
RET0773,ORD05011,2024-03-04,Quality Issue,Returned
RET0774,ORD05206,2025-06-13,Wrong Product,Returned
RET0775,ORD03386,2025-04-04,Wrong Product,Returned
RET0776,ORD04470,2024-11-26,Wrong Product,Returned
RET0777,ORD05832,2025-02-03,Customer Changed Mind,Returned
RET0778,ORD07153,2024-02-26,Wrong Product,Returned
RET0779,ORD05681,2024-10-13,Wrong Product,Returned
RET0780,ORD02297,2024-06-07,Quality Issue,Returned
RET0781,ORD04783,2025-12-26,Quality Issue,Returned
RET0782,ORD07968,2024-07-29,Customer Changed Mind,Returned
RET0783,ORD02122,2025-11-16,Wrong Product,Returned
RET0784,ORD02649,2024-05-28,Late Delivery,Returned
RET0785,ORD07327,2025-08-07,Damaged,Returned
RET0786,ORD04405,2024-06-23,Wrong Product,Returned
RET0787,ORD08072,2024-04-20,Customer Changed Mind,Returned
RET0788,ORD02652,2024-07-15,Late Delivery,Returned
RET0789,ORD08272,2025-09-20,Quality Issue,Returned
RET0790,ORD01345,2025-07-04,Damaged,Returned
RET0791,ORD00816,2024-04-24,Customer Changed Mind,Returned
RET0792,ORD07938,2024-12-29,Quality Issue,Returned
RET0793,ORD03757,2025-12-02,Wrong Product,Returned
RET0794,ORD05713,2024-10-01,Customer Changed Mind,Returned
RET0795,ORD07945,2025-12-22,Wrong Product,Returned
RET0796,ORD00046,2024-10-22,Customer Changed Mind,Returned
RET0797,ORD05822,2025-02-11,Customer Changed Mind,Returned
RET0798,ORD02994,2025-04-30,Wrong Product,Returned
RET0799,ORD03733,2025-12-09,Customer Changed Mind,Returned
RET0800,ORD02169,2025-05-05,Quality Issue,Returned
RET0801,ORD00005,2025-04-08,Quality Issue,Returned
RET0802,ORD04874,2024-03-26,Damaged,Returned
RET0803,ORD06714,2025-07-04,Damaged,Returned
RET0804,ORD09544,2024-02-05,Customer Changed Mind,Returned
RET0805,ORD06801,2025-10-08,Quality Issue,Returned
RET0806,ORD02820,2025-05-04,Wrong Product,Returned
RET0807,ORD08744,2025-10-07,Customer Changed Mind,Returned
RET0808,ORD02602,2024-10-05,Wrong Product,Returned
RET0809,ORD05418,2025-11-03,Late Delivery,Returned
RET0810,ORD02727,2024-10-04,Damaged,Returned
RET0811,ORD09520,2025-05-20,Customer Changed Mind,Returned
RET0812,ORD04827,2024-06-19,Customer Changed Mind,Returned
RET0813,ORD04439,2025-07-08,Wrong Product,Returned
RET0814,ORD08276,2024-04-25,Damaged,Returned
RET0815,ORD09103,2025-12-10,Wrong Product,Returned
RET0816,ORD07653,2025-10-25,Wrong Product,Returned
RET0817,ORD01255,2025-03-30,Damaged,Returned
RET0818,ORD04930,2024-02-21,Late Delivery,Returned
RET0819,ORD06065,2024-08-03,Quality Issue,Returned
RET0820,ORD00346,2025-05-01,Quality Issue,Returned
RET0821,ORD08034,2024-01-20,Late Delivery,Returned
RET0822,ORD06586,2024-08-09,Damaged,Returned
RET0823,ORD05655,2025-01-15,Customer Changed Mind,Returned
RET0824,ORD04685,2025-01-25,Damaged,Returned
RET0825,ORD00788,2024-11-01,Wrong Product,Returned
RET0826,ORD03395,2025-07-03,Damaged,Returned
RET0827,ORD03720,2025-04-21,Quality Issue,Returned
RET0828,ORD02974,2024-12-15,Customer Changed Mind,Returned
RET0829,ORD02922,2024-06-06,Late Delivery,Returned
RET0830,ORD03149,2024-05-25,Damaged,Returned
RET0831,ORD03110,2025-07-07,Customer Changed Mind,Returned
RET0832,ORD07350,2024-04-29,Customer Changed Mind,Returned
RET0833,ORD03082,2025-12-16,Quality Issue,Returned
RET0834,ORD05572,2024-10-26,Wrong Product,Returned
RET0835,ORD04883,2024-08-01,Customer Changed Mind,Returned
RET0836,ORD02393,2025-09-20,Customer Changed Mind,Returned
RET0837,ORD01737,2024-04-14,Damaged,Returned
RET0838,ORD04214,2025-04-22,Late Delivery,Returned
RET0839,ORD04872,2024-10-06,Damaged,Returned
RET0840,ORD07212,2024-09-14,Quality Issue,Returned
RET0841,ORD08010,2025-01-02,Customer Changed Mind,Returned
RET0842,ORD01999,2025-01-20,Wrong Product,Returned
RET0843,ORD07493,2024-01-09,Customer Changed Mind,Returned
RET0844,ORD05112,2024-01-25,Wrong Product,Returned
RET0845,ORD01930,2025-08-07,Wrong Product,Returned
RET0846,ORD02957,2024-02-21,Wrong Product,Returned
RET0847,ORD08610,2024-03-28,Late Delivery,Returned
RET0848,ORD03573,2024-03-21,Damaged,Returned
RET0849,ORD05444,2025-08-18,Quality Issue,Returned
RET0850,ORD04756,2025-04-22,Late Delivery,Returned
RET0851,ORD07445,2024-07-30,Late Delivery,Returned
RET0852,ORD01414,2025-12-23,Wrong Product,Returned
RET0853,ORD06646,2025-02-24,Late Delivery,Returned
RET0854,ORD08557,2025-07-08,Quality Issue,Returned
RET0855,ORD05188,2024-08-25,Quality Issue,Returned
RET0856,ORD01017,2024-01-27,Customer Changed Mind,Returned
RET0857,ORD06956,2025-01-27,Late Delivery,Returned
RET0858,ORD07466,2025-12-04,Customer Changed Mind,Returned
RET0859,ORD08156,2024-09-09,Quality Issue,Returned
RET0860,ORD07936,2025-07-02,Late Delivery,Returned
RET0861,ORD00599,2024-06-12,Wrong Product,Returned
RET0862,ORD00878,2024-02-07,Wrong Product,Returned
RET0863,ORD06434,2024-12-05,Late Delivery,Returned
RET0864,ORD03818,2024-07-24,Customer Changed Mind,Returned
RET0865,ORD01408,2025-12-02,Customer Changed Mind,Returned
RET0866,ORD01146,2025-10-12,Wrong Product,Returned
RET0867,ORD04624,2024-01-01,Customer Changed Mind,Returned
RET0868,ORD00019,2025-07-25,Wrong Product,Returned
RET0869,ORD08646,2024-01-09,Damaged,Returned
RET0870,ORD02405,2025-08-03,Wrong Product,Returned
RET0871,ORD02563,2024-10-05,Damaged,Returned
RET0872,ORD00238,2025-05-13,Late Delivery,Returned
RET0873,ORD06996,2025-07-31,Damaged,Returned
RET0874,ORD09488,2024-04-30,Quality Issue,Returned
RET0875,ORD09976,2025-07-01,Customer Changed Mind,Returned
RET0876,ORD05939,2024-10-29,Damaged,Returned
RET0877,ORD06689,2024-05-13,Quality Issue,Returned
RET0878,ORD05917,2024-01-03,Quality Issue,Returned
RET0879,ORD04515,2024-06-08,Customer Changed Mind,Returned
RET0880,ORD06416,2024-03-25,Wrong Product,Returned
RET0881,ORD08526,2024-11-14,Quality Issue,Returned
RET0882,ORD06429,2024-09-17,Damaged,Returned
RET0883,ORD04786,2024-03-11,Customer Changed Mind,Returned
RET0884,ORD05883,2025-01-24,Damaged,Returned
RET0885,ORD01984,2024-03-03,Wrong Product,Returned
RET0886,ORD01348,2024-11-19,Customer Changed Mind,Returned
RET0887,ORD09036,2024-10-31,Quality Issue,Returned
RET0888,ORD09923,2024-02-14,Damaged,Returned
RET0889,ORD05321,2025-04-09,Damaged,Returned
RET0890,ORD09308,2025-06-01,Quality Issue,Returned
RET0891,ORD01865,2024-10-26,Quality Issue,Returned
RET0892,ORD09847,2024-10-15,Wrong Product,Returned
RET0893,ORD09286,2024-05-29,Wrong Product,Returned
RET0894,ORD04035,2024-08-31,Quality Issue,Returned
RET0895,ORD05679,2024-09-27,Customer Changed Mind,Returned
RET0896,ORD08426,2025-01-08,Quality Issue,Returned
RET0897,ORD04064,2025-07-25,Quality Issue,Returned
RET0898,ORD04557,2024-10-27,Late Delivery,Returned
RET0899,ORD02514,2025-10-26,Customer Changed Mind,Returned
RET0900,ORD08067,2025-02-28,Customer Changed Mind,Returned
RET0901,ORD08288,2025-09-05,Wrong Product,Returned
RET0902,ORD02321,2025-08-08,Wrong Product,Returned
RET0903,ORD01661,2024-05-24,Wrong Product,Returned
RET0904,ORD02099,2024-12-26,Damaged,Returned
RET0905,ORD07291,2025-01-16,Customer Changed Mind,Returned
RET0906,ORD08417,2024-05-17,Late Delivery,Returned
RET0907,ORD00658,2025-01-17,Wrong Product,Returned
RET0908,ORD07791,2025-05-03,Wrong Product,Returned
RET0909,ORD05383,2024-11-18,Wrong Product,Returned
RET0910,ORD04460,2024-09-08,Wrong Product,Returned
RET0911,ORD06340,2024-07-21,Wrong Product,Returned
RET0912,ORD05756,2025-09-24,Damaged,Returned
RET0913,ORD06424,2024-04-02,Late Delivery,Returned
RET0914,ORD00553,2024-05-13,Customer Changed Mind,Returned
RET0915,ORD01204,2025-09-08,Late Delivery,Returned
RET0916,ORD00893,2024-09-04,Quality Issue,Returned
RET0917,ORD04504,2024-07-07,Customer Changed Mind,Returned
RET0918,ORD05401,2024-02-17,Wrong Product,Returned
RET0919,ORD09176,2024-04-30,Quality Issue,Returned
RET0920,ORD04978,2024-04-24,Quality Issue,Returned
RET0921,ORD07842,2025-11-06,Quality Issue,Returned
RET0922,ORD07109,2024-06-20,Quality Issue,Returned
RET0923,ORD08950,2024-06-08,Wrong Product,Returned
RET0924,ORD04270,2024-03-07,Quality Issue,Returned
RET0925,ORD07419,2024-09-29,Late Delivery,Returned
RET0926,ORD02327,2025-08-10,Wrong Product,Returned
RET0927,ORD01956,2024-04-03,Quality Issue,Returned
RET0928,ORD04808,2024-09-21,Quality Issue,Returned
RET0929,ORD02771,2024-08-23,Late Delivery,Returned
RET0930,ORD04311,2024-08-24,Damaged,Returned
RET0931,ORD00099,2024-05-11,Damaged,Returned
RET0932,ORD02694,2024-04-08,Late Delivery,Returned
RET0933,ORD06374,2024-10-19,Damaged,Returned
RET0934,ORD05351,2024-02-07,Customer Changed Mind,Returned
RET0935,ORD05249,2024-03-17,Customer Changed Mind,Returned
RET0936,ORD08353,2024-08-03,Customer Changed Mind,Returned
RET0937,ORD00125,2024-01-24,Damaged,Returned
RET0938,ORD03414,2025-09-13,Customer Changed Mind,Returned
RET0939,ORD01054,2024-10-31,Customer Changed Mind,Returned
RET0940,ORD03380,2025-02-12,Damaged,Returned
RET0941,ORD09353,2024-04-06,Late Delivery,Returned
RET0942,ORD02070,2024-11-03,Wrong Product,Returned
RET0943,ORD02454,2025-12-25,Customer Changed Mind,Returned
RET0944,ORD08182,2024-04-22,Damaged,Returned
RET0945,ORD04335,2024-06-13,Wrong Product,Returned
RET0946,ORD00974,2024-11-20,Wrong Product,Returned
RET0947,ORD01877,2025-10-09,Quality Issue,Returned
RET0948,ORD04145,2025-01-08,Wrong Product,Returned
RET0949,ORD06096,2024-11-08,Customer Changed Mind,Returned
RET0950,ORD03557,2024-09-21,Late Delivery,Returned
RET0951,ORD08321,2024-06-11,Customer Changed Mind,Returned
